id,date,matchweek,home_team_id,away_team_id,home_team_score,away_team_score,attendance,youtube_id
89,12/9/2023,16,8,11,1,2,"25,103",PFMC9GtW5BA
90,12/17/2023,17,11,14,0,0,"57,158",zs6PfPBOCKA
91,12/26/2023,19,6,11,0,2,"21,624",iBws1rkxReI
92,1/1/2024,20,11,15,4,2,"57,471",F2LYawzW_mw
93,1/21/2024,21,3,11,0,4,"11,228",CS5QWErbnvs
94,1/31/2024,22,11,7,4,1,"57,524",T8dU0FArFOs
95,2/10/2024,24,11,6,3,1,"59,896",weZR9MxnnGA
96,2/17/2024,25,4,11,1,4,"17,193",U2_vbLDNVlk
97,2/21/2024,26,11,12,4,1,"59,713",XEfwXoWsRrU
98,3/2/2024,27,16,11,0,1,"29,603",lpJW7He7U9o
99,3/31/2024,30,11,5,2,1,"60,061",eUpAquKtF4I
100,4/4/2024,31,11,17,3,1,"60,055",tl50Cto32OA
101,4/7/2024,32,14,11,2,2,"73,501",cqyicx_NobM
102,4/14/2024,33,11,8,0,1,"60,090",iEDsDDTDP8E
103,4/21/2024,34,10,11,1,3,"24,414",Tge9py_WwDA
104,4/24/2024,29,9,11,2,0,"38,222",Kb9RNzePAKI
105,4/27/2024,35,19,11,2,2,"62,474",mgKxeNTAcoY
106,5/5/2024,36,11,18,4,2,"60,075",g_GNsy5S2kM
107,5/13/2024,37,2,11,3,3,"42,241",xnbD-WjVfZc
108,5/19/2024,38,11,20,2,0,"60,059",fQpamhRUqGQ
109,8/12/2023,1,15,2,5,1,"52,207",1LmVUgWyWcM
110,8/20/2023,2,2,9,4,0,"41,694",aGx8S5bdyE4
111,8/27/2023,3,6,2,1,3,"21,591",3R6qannEbw8
112,9/16/2023,5,2,8,3,1,"40,809",W714hML12xY
113,9/24/2023,6,7,2,0,1,"39,700",CIEl0AQ6HM0
114,9/30/2023,7,2,5,6,1,"40,636",0pbBPZjBuhc
115,10/8/2023,8,20,2,1,1,"31,425",9tSvAreZ5Cc
