id,player_name,team_id,age,position,nationality,height,weight,jersey_number
322,Marc Cucurella,7,25,Defender,Spain,172,66,3
323,Reece James,7,24,Defender,England,182,82,24
324,Thiago Silva,7,39,Defender,Brazil,183,79,6
325,Trevoh Chalobah,7,24,Defender,England,190,75,0
326,Wesley Fofana,7,23,Defender,France,190,84,33
327,Andrey Santos,7,19,Midfielder,Brazil,180,75,0
328,Carney Chukwuemeka,7,20,Midfielder,England,187,77,0
329,Cole Palmer,7,21,Midfielder,England,182,74,0
330,Conor Gallagher,7,23,Midfielder,England,182,77,23
331,Enzo Fernandez,7,22,Midfielder,Argentina,178,76,8
332,Leo Castledine,7,18,Midfielder,England,0,0,0
333,Lesley Ugochukwu,7,19,Midfielder,France,188,0,16
334,Moises Caicedo,7,22,Midfielder,Ecuador,178,73,25
335,Mykhailo Mudryk,7,23,Midfielder,Ukraine,175,61,10
336,Romeo Lavia,7,20,Midfielder,Belgium,181,0,6
337,Alex Matos,7,19,Forward,England,0,0,0
338,Armando Broja,7,22,Forward,Albania,191,83,0
339,Christopher Nkunku,7,26,Forward,France,178,68,18
340,Deivid Washington,7,18,Forward,Brazil,186,73,0
341,Nicolas Jackson,7,22,Forward,Senegal,186,78,15
342,Noni Madueke,7,21,Forward,England,176,75,11
343,Raheem Sterling,7,29,Forward,England,172,69,7
344,Ronnie Stutter,7,19,Forward,England,0,0,0
345,Daniel Bentley,20,30,Goalkeeper,England,188,73,25
346,Jose Sa,20,30,Goalkeeper,Portugal,192,84,1
347,Tom King,20,28,Goalkeeper,Wales,194,80,40
348,Craig Dawson,20,33,Defender,England,188,82,15
349,Hugo Bueno,20,21,Defender,Spain,180,73,17
350,Jonny Castro,20,29,Defender,Spain,175,70,19
351,Justin Hubner,20,20,Defender,Indonesia,187,75,67
352,Matt Doherty,20,31,Defender,Ireland,185,80,2
353,Max Kilman,20,26,Defender,England,194,89,23
354,Nelson Semedo,20,30,Defender,Portugal,177,69,22
355,Rayan Ait-Nouri,20,22,Defender,Algeria,180,70,3
356,Santiago Bueno,20,25,Defender,Uruguay,190,76,4
357,Toti,20,24,Defender,Portugal,187,72,24
358,Yerson Mosquera,20,22,Defender,Colombia,187,76,0
359,Boubacar Traore,20,22,Midfielder,Mali,183,67,6
360,Jeanricner Bellegarde,20,25,Midfielder,France,170,70,27
361,Joe Hodge,20,21,Midfielder,Ireland,172,65,32
362,Joao Gomes,20,22,Midfielder,Brazil,176,74,8
