id,player_name,team_id,age,position,nationality,height,weight,jersey_number
646,Yasser Larouci,17,23,Defender,Algeria,176,68,27
647,Andre Brooks,17,20,Midfielder,England,180,0,35
648,Anis Ben Slimane,17,22,Midfielder,Tunisia,188,86,25
649,Ben Osborn,17,29,Midfielder,England,176,75,23
650,Gustavo Hamer,17,26,Midfielder,Netherlands,169,61,8
651,Ismaila Coulibaly,17,23,Midfielder,Mali,183,68,17
652,James McAtee,17,21,Midfielder,England,180,0,28
653,John Fleck,17,32,Midfielder,Scotland,170,72,4
654,Oliver Norwood,17,32,Midfielder,Northern Ireland,180,75,16
655,Sydie Peck,17,19,Midfielder,England,173,0,42
656,Tom Davies,17,25,Midfielder,England,180,70,22
657,Vinicius Souza,17,24,Midfielder,Brazil,187,80,21
658,Ben Brereton Diaz,17,24,Forward,Chile,185,80,11
659,Cameron Archer,17,22,Forward,England,181,72,10
660,Daniel Jebbison,17,20,Forward,Canada,190,69,36
661,Oliver McBurnie,17,27,Forward,Scotland,188,79,9
662,Rhian Brewster,17,23,Forward,England,180,75,7
663,Ryan One,17,17,Forward,Scotland,0,0,26
664,William Osula,17,20,Forward,Denmark,180,81,32
